date,baseline_reg,baseline_clf,xgboost_reg,xgboost_clf,lstm_reg,lstm_clf,buy_and_hold
2024-08-26,10000.0,9674.841491249976,9980.560471701745,10169.568491027958,10000.0,10542.74600085866,9290.195578853556
2024-08-27,10000.0,9545.467590392293,9975.570191465895,10164.483706782446,10000.0,10542.74600085866,9165.965239487881
2024-08-28,10000.0,9723.517342786194,9975.570191465895,10348.997604674589,10000.0,10734.126420683348,9336.936208263112
2024-08-29,10000.0,9421.218492085522,9660.447370080925,10027.252913786764,10000.0,10400.408284966165,9046.655954182273
2024-08-30,10000.0,9010.040064382094,9238.828068514096,9589.624799043531,10000.0,9946.494226006742,8651.82488489549
2024-09-03,10000.0,8864.014464312924,9089.094504290131,9434.205876850921,10000.0,9785.291525734758,8511.604873499029
2024-09-04,10000.0,8857.610415663774,9084.549957037987,9429.488773912495,10000.0,9778.221875382853,8505.45543275616
2024-09-05,10000.0,8668.032789339553,8885.572915089646,9222.95660752107,10000.0,9568.940590045611,8323.4149075941
2024-09-06,10000.0,8801.249314840674,9022.132752783258,9364.701599027403,10148.687149943593,9716.002910771978,8451.335099088716
2024-09-09,10000.0,8422.09503946198,8633.462907868878,8961.274026202054,9711.48579537072,9297.441418939303,8087.254987180703
2024-09-10,10000.0,8621.91933907879,8838.302163511238,9173.890993544486,9941.902436147848,9518.034360607953,8279.134805214575
2024-09-11,10000.0,8834.553690533392,9056.272962655692,9169.304048047714,10187.090299035126,9752.768760664025,8483.315381566397
2024-09-12,10000.0,8793.564065553797,9014.254628118897,9122.176631848053,10181.996753885609,9747.892376283693,8443.955394830833
2024-09-13,10000.0,8978.016889327104,9203.336632636416,9313.522396336697,10390.482189239527,9747.892376283693,8621.074865932827
2024-09-16,10000.0,9118.919641384851,9198.734964320098,9459.690637405092,10385.286948144907,9896.003758538618,8756.375700101435
2024-09-17,10000.0,9083.053841686422,9198.734964320098,9454.960792086391,10385.286948144907,9857.081594227853,8721.935829009828
2024-09-18,10000.0,9216.269389917798,9198.734964320098,9454.960792086391,10385.286948144907,10001.64933008228,8849.85508208834
2024-09-19,10000.0,9212.42676527436,9198.734964320098,9446.291167227626,10385.286948144907,9997.479249698905,8846.165229959397
2024-09-20,10000.0,9013.88366629528,9198.734964320098,9242.707901928883,10385.286948144907,9782.016965678764,8655.515675440542
2024-09-23,10000.0,9166.313315013598,9349.69118099831,9399.007092250704,10385.286948144907,9777.125957195925,8801.885127579872
2024-09-24,10000.0,8926.780591054921,9105.36645416525,9153.393649425638,10385.286948144907,9777.125957195925,8571.875586325452
2024-09-25,10000.0,8668.032789339555,8841.44223985344,8888.077339601967,10385.286948144907,9777.125957195925,8323.414907594104
2024-09-26,10000.0,8733.36034008726,8908.076709362747,8955.063279499018,10458.364123973874,9777.125957195925,8386.145209034448
2024-09-27,10000.0,8732.079139449532,8906.769877500035,8953.749554616748,10456.829861987255,9770.803071170561,8384.914945519433
